Sigla;Designação;"Organismo
Conjunto de Organismos
Tipologia de Organismos";AP;Privados c/ FP;;;;;;;;;;;;;
CISAC;International Confederation of Societies of Authors and Composers;Organismo;N;;;;;;;;;;;;;;

CM;Conselho de Ministros;Organismo;AP;;;;;;;;;;;;;;

CMil ;Colégio Militar;Organismo;N;;;;;;;;;;;;;;

CN;Cartórios Notariais;Conjunto de organismos;S/N;X;;;;;;;;;;;;;

CNCS;Centro Nacional de Cibersegurança;Organismo;AP;;;;;;;;;;;;;;

CNE;Conselho Nacional de Educação;Organismo;AP;;;;;;;;;;;;;;

CNOC;Comissão Nacional de Objecção de Consciência;Organismo;AP;;;;;;;;;;;;;;

CNPCJ;Comissão Nacional de Proteção das Crianças e Jovens em Risco;Organismo;AP;;;;;;;;;;;;;;

CNPD;Comissão Nacional de Proteção de Dados;Organismo;AP;;;;;;;;;;;;;;

CNPRP;Centro Nacional de Proteção contra os Riscos Profissionais;Organismo;AP;;;;;;;;;;;;;;

CNPV;Conselho Nacional para a Promoção do Voluntariado;Organismo;AP;;;;;;;;;;;;;;

Cns;Consulados;Conjunto de organismos;AP;;;;;;;;;;;;;;

CP;Comboios de Portugal;Organismo;N;;;;;;;;;;;;;;

CPCJ;Comissão de Proteção de Crianças e Jovens;Organismo;AP;;;;;;;;;;;;;;

CPES;Comissão de Programas Especiais de Segurança;Organismo;AP;;;;;;;;;;;;;;

CPL;Casa Pia de Lisboa, I.P.;Organismo;AP;;;;;;;;;;;;;;

CPVC;Comissão de Proteção às Vítimas de Crimes;Organismo;AP;;;;;;;;;;;;;;

CRESAP;Comissão de Recrutamento e Seleção para a Administração Pública;Organismo;AP;;;;;;;;;;;;;;

CS;Câmara dos Solicitadores;Organismo;N;;;;;;;;;;;;;;

CSM;Conselho Superior de Magistratura;Organismo;AP;;;;;;;;;;;;;;

CT;Comissões Técnicas de Normalização;Conjunto de organismos;N;;;;;;;;;;;;;;

DGACCP;Direção-Geral dos Assuntos Consulares e das Comunidades Portuguesas;Organismo;AP;;;;;;;;;;;;;;

DGADR;Direção-Geral de Agricultura e Desenvolvimento Rural;Organismo;AP;;;;;;;;;;;;;;

DGAE;Direção-Geral das Atividades Económicas;Organismo;AP;;;;;;;;;;;;;;

DGAEP;Direção-Geral da Administração e do Emprego Público;Organismo;AP;;;;;;;;;;;;;;

DGAEu;Direção-Geral dos Assuntos Europeus;Organismo;AP;;;;;;;;;;;;;;

DGAJ;Direção-Geral da Administração da Justiça;Organismo;AP;;;;;;;;;;;;;;

DGAL;Direção-Geral das Autarquias Locais;Organismo;AP;;;;;;;;;;;;;;

DGAM;Direção-Geral da Autoridade Marítima;Organismo;AP;;;;;;;;;;;;;;

DGAV;Direção-Geral de Alimentação e Veterinária;Organismo;AP;;;;;;;;;;;;;;

DGE;Direção-Geral da Educação;Organismo;AP;;;;;;;;;;;;;;

DGEEC;Direção-Geral de Estatísticas da Educação e Ciência;Organismo;AP;;;;;;;;;;;;;;

DGEG;Direção-Geral de Energia e Geologia;Organismo;AP;;;;;;;;;;;;;;

DGERT;Direção-Geral do Emprego e das Relações de Trabalho;Organismo;AP;;;;;;;;;;;;;;

DGES;Direção-Geral do Ensino Superior;Organismo;AP;;;;;;;;;;;;;;

DGEstE;Direção-Geral dos Estabelecimentos Escolares;Organismo;AP;;;;;;;;;;;;;;

DGLAB;Direção-Geral do Livro, dos Arquivos e das Bibliotecas;Organismo;AP;;;;;;;;;;;;;;

DGO;Direção-Geral do Orçamento;Organismo;AP;;;;;;;;;;;;;;

DGPC;Direção-Geral do Património Cultural;Organismo;AP;;;;;;;;;;;;;;

DGPDN;Direção-Geral de Política de Defesa Nacional;Organismo;AP;;;;;;;;;;;;;;

DGPE;Direção-Geral de Política Externa;Organismo;AP;;;;;;;;;;;;;;

DGPJ;Direção-Geral da Política de Justiça;Organismo;AP;;;;;;;;;;;;;;

DGRDN;Direção-Geral de Recursos da Defesa Nacional;Organismo;AP;;;;;;;;;;;;;;

DGRM;Direção-Geral de Recursos Naturais, Segurança e Serviços Marítimos;Organismo;AP;;;;;;;;;;;;;;

DGRSP;Direção-Geral de Reinserção e Serviços Prisionais;Organismo;AP;;;;;;;;;;;;;;

DGS;Direção-Geral de Saúde;Organismo;AP;;;;;;;;;;;;;;

DGSS;Direção-Geral da Segurança Social;Organismo;AP;;;;;;;;;;;;;;

DGT;Direção-Geral do Território;Organismo;AP;;;;;;;;;;;;;;

DGTF;Direção-Geral do Tesouro e Finanças;Organismo;AP;;;;;;;;;;;;;;

DGV;Direção-Geral de Alimentação e Veterinária;Organismo;AP;;;;;;;;;;;;;;

DNS.PT;Associação DNS.PT;Organismo;N;;;;;;;;;;;;;;

DRADR-N;Direção Regional de Agricultura e Desenvolvimento Rural do Norte;Organismo;AP;;;;;;;;;;;;;;

DRADR-C;Direção Regional de Agricultura e Desenvolvimento Rural do Centro;Organismo;AP;;;;;;;;;;;;;;

DRADR-LVT;Direção Regional de Agricultura e Desenvolvimento Rural de LVT;Organismo;AP;;;;;;;;;;;;;;

DRADR-Aln;Direção Regional de Agricultura e Desenvolvimento Rural do Alentejo;Organismo;AP;;;;;;;;;;;;;;

DRADR-Alg;Direção Regional de Agricultura e Desenvolvimento Rural do Algarve;Organismo;AP;;;;;;;;;;;;;;

DRAP-N;Direção Regional de Agricultura e Pescas do Norte;Organismo;AP;;;;;;;;;;;;;;

DRAP-C;Direção Regional de Agricultura e Pescas do Centro;Organismo;AP;;;;;;;;;;;;;;

DRAP-LVT;Direção Regional de Agricultura e Pescas de LVT;Organismo;AP;;;;;;;;;;;;;;

DRAP-Aln;Direção Regional de Agricultura e Pescas do Alentejo;Organismo;AP;;;;;;;;;;;;;;

DRAP-Alg;Direção Regional de Agricultura e Pescas do Algarve;Organismo;AP;;;;;;;;;;;;;;

DRS-N;Delegado Regional de Saúde do Norte;Organismo;AP;;;;;;;;;;;;;;

DRS-C;Delegado Regional de Saúde do Centro;Organismo;AP;;;;;;;;;;;;;;

DRS-LVT;Delegado Regional de Saúde de Lisboa e Vale do Tejo;Organismo;AP;;;;;;;;;;;;;;

DRS-Aln;Delegado Regional de Saúde do Alentejo;Organismo;AP;;;;;;;;;;;;;;

DRS-Alg;Delegado Regional de Saúde do Algarve;Organismo;AP;;;;;;;;;;;;;;

EAARPNC;Entidades com autonomia administrativa e receitas próprias não consignadas;Tipologia de organismo;AP;;;;;;;;;;;;;;

EC;Equipas cinotécnicas;Conjunto de organismos;AP;;;;;;;;;;;;;;

ECA;Entidades com competência de auditoria;Tipologia de organismo;AP;;;;;;;;;;;;;;

ECP;Entidades com capacidade pericial;Tipologia de organismo;AP;;;;;;;;;;;;;;

ECF;Entidades com competência de fiscalização;Tipologia de organismo;AP;;;;;;;;;;;;;;

EFD;Entidades com funções delegadas;Tipologia de organismo;N;X;;;;;;;;;;;;;

ECFP;Entidade das Contas e Financiamentos Políticos (Tribunal Constitucional);Organismo;AP;;;;;;;;;;;;;;

ECHA;Agência Europeia dos Produtos Químicos;Organismo;N;;;;;;;;;;;;;;

ECI;Entidades com competência de inspeção;Tipologia de organismo;AP;;;;;;;;;;;;;;

ECM;Entidades com competência de monitorização;Tipologia de organismo;AP;;;;;;;;;;;;;;

ECS;Entidades com competência sancionatória;Tipologia de organismo;AP;;;;;;;;;;;;;;

ECV;Entidades com competência de visita;Tipologia de organismo;AP;;;;;;;;;;;;;;

ED;Entidades depositantes;Tipologia de organismo;AP;;;;;;;;;;;;;;

EDA;Entidades detentoras de animais;Tipologia de organismo;AP;;;;;;;;;;;;;;

EDIE;Entidades detentoras de infrestruturas estratégicas;Tipologia de organismo;AP;;;;;;;;;;;;;;

EE;Entidades editoriais;Tipologia de organismo;S/N;;;;;;;;;;;;;;

EGAG;Entidades gestoras de água;Tipologia de organismo;AP;;;;;;;;;;;;;;

