Sigla;Designação;"Tipologia";AP;Privados c/ FP;;;;;;;;;;;;;
CMil ;Colégio Militar;Organização;N;;;;;;;;;;;;;;

CN;Cartórios Notariais;Conjunto de Organizações;S/N;X;;;;;;;;;;;;;

CNCS;Centro Nacional de Cibersegurança;Organização;AP;;;;;;;;;;;;;;

CNE;Conselho Nacional de Educação;Organização;AP;;;;;;;;;;;;;;

CNOC;Comissão Nacional de Objecção de Consciência;Organização;AP;;;;;;;;;;;;;;

CNPCJ;Comissão Nacional de Proteção das Crianças e Jovens em Risco;Organização;AP;;;;;;;;;;;;;;

CNPD;Comissão Nacional de Proteção de Dados;Organização;AP;;;;;;;;;;;;;;

CNPRP;Centro Nacional de Proteção contra os Riscos Profissionais;Organização;AP;;;;;;;;;;;;;;

CNPV;Conselho Nacional para a Promoção do Voluntariado;Organização;AP;;;;;;;;;;;;;;

Cns;Consulados;Conjunto de Organizações;AP;;;;;;;;;;;;;;

CP;Comboios de Portugal;Organização;N;;;;;;;;;;;;;;

CPCJ;Comissão de Proteção de Crianças e Jovens;Organização;AP;;;;;;;;;;;;;;

CPES;Comissão de Programas Especiais de Segurança;Organização;AP;;;;;;;;;;;;;;

CPL;Casa Pia de Lisboa, I.P.;Organização;AP;;;;;;;;;;;;;;

CPVC;Comissão de Proteção às Vítimas de Crimes;Organização;AP;;;;;;;;;;;;;;

CRESAP;Comissão de Recrutamento e Seleção para a Administração Pública;Organização;AP;;;;;;;;;;;;;;

CS;Câmara dos Solicitadores;Organização;N;;;;;;;;;;;;;;

CSM;Conselho Superior de Magistratura;Organização;AP;;;;;;;;;;;;;;

CT;Comissões Técnicas de Normalização;Conjunto de Organizações;N;;;;;;;;;;;;;;

DGACCP;Direção-Geral dos Assuntos Consulares e das Comunidades Portuguesas;Organização;AP;;;;;;;;;;;;;;

DGADR;Direção-Geral de Agricultura e Desenvolvimento Rural;Organização;AP;;;;;;;;;;;;;;

DGAE;Direção-Geral das Atividades Económicas;Organização;AP;;;;;;;;;;;;;;

DGAEP;Direção-Geral da Administração e do Emprego Público;Organização;AP;;;;;;;;;;;;;;

DGAEu;Direção-Geral dos Assuntos Europeus;Organização;AP;;;;;;;;;;;;;;

DGAJ;Direção-Geral da Administração da Justiça;Organização;AP;;;;;;;;;;;;;;

DGAL;Direção-Geral das Autarquias Locais;Organização;AP;;;;;;;;;;;;;;

DGAM;Direção-Geral da Autoridade Marítima;Organização;AP;;;;;;;;;;;;;;

DGAV;Direção-Geral de Alimentação e Veterinária;Organização;AP;;;;;;;;;;;;;;

DGE;Direção-Geral da Educação;Organização;AP;;;;;;;;;;;;;;

DGEEC;Direção-Geral de Estatísticas da Educação e Ciência;Organização;AP;;;;;;;;;;;;;;

DGEG;Direção-Geral de Energia e Geologia;Organização;AP;;;;;;;;;;;;;;

DGERT;Direção-Geral do Emprego e das Relações de Trabalho;Organização;AP;;;;;;;;;;;;;;

DGES;Direção-Geral do Ensino Superior;Organização;AP;;;;;;;;;;;;;;

DGEstE;Direção-Geral dos Estabelecimentos Escolares;Organização;AP;;;;;;;;;;;;;;

DGLAB;Direção-Geral do Livro, dos Arquivos e das Bibliotecas;Organização;AP;;;;;;;;;;;;;;

DGO;Direção-Geral do Orçamento;Organização;AP;;;;;;;;;;;;;;

DGPC;Direção-Geral do Património Cultural;Organização;AP;;;;;;;;;;;;;;

DGPDN;Direção-Geral de Política de Defesa Nacional;Organização;AP;;;;;;;;;;;;;;

DGPE;Direção-Geral de Política Externa;Organização;AP;;;;;;;;;;;;;;

DGPJ;Direção-Geral da Política de Justiça;Organização;AP;;;;;;;;;;;;;;

DGRDN;Direção-Geral de Recursos da Defesa Nacional;Organização;AP;;;;;;;;;;;;;;

DGRM;Direção-Geral de Recursos Naturais, Segurança e Serviços Marítimos;Organização;AP;;;;;;;;;;;;;;

DGRSP;Direção-Geral de Reinserção e Serviços Prisionais;Organização;AP;;;;;;;;;;;;;;

DGS;Direção-Geral de Saúde;Organização;AP;;;;;;;;;;;;;;

DGSS;Direção-Geral da Segurança Social;Organização;AP;;;;;;;;;;;;;;

DGT;Direção-Geral do Território;Organização;AP;;;;;;;;;;;;;;

DGTF;Direção-Geral do Tesouro e Finanças;Organização;AP;;;;;;;;;;;;;;

DGV;Direção-Geral de Alimentação e Veterinária;Organização;AP;;;;;;;;;;;;;;

DNS.PT;Associação DNS.PT;Organização;N;;;;;;;;;;;;;;

DRADR-Alg;Direção Regional de Agricultura e Desenvolvimento Rural do Algarve;Organização;AP;;;;;;;;;;;;;;

DRADR-Aln;Direção Regional de Agricultura e Desenvolvimento Rural do Alentejo;Organização;AP;;;;;;;;;;;;;;

DRADR-C;Direção Regional de Agricultura e Desenvolvimento Rural do Centro;Organização;AP;;;;;;;;;;;;;;

DRADR-LVT;Direção Regional de Agricultura e Desenvolvimento Rural de LVT;Organização;AP;;;;;;;;;;;;;;

DRADR-N;Direção Regional de Agricultura e Desenvolvimento Rural do Norte;Organização;AP;;;;;;;;;;;;;;

DRAP-Alg;Direção Regional de Agricultura e Pescas do Algarve;Organização;AP;;;;;;;;;;;;;;

DRAP-Aln;Direção Regional de Agricultura e Pescas do Alentejo;Organização;AP;;;;;;;;;;;;;;

DRAP-C;Direção Regional de Agricultura e Pescas do Centro;Organização;AP;;;;;;;;;;;;;;

DRAP-LVT;Direção Regional de Agricultura e Pescas de LVT;Organização;AP;;;;;;;;;;;;;;

DRAP-N;Direção Regional de Agricultura e Pescas do Norte;Organização;AP;;;;;;;;;;;;;;

DRS-Alg;Delegado Regional de Saúde do Algarve;Organização;AP;;;;;;;;;;;;;;

DRS-Aln;Delegado Regional de Saúde do Alentejo;Organização;AP;;;;;;;;;;;;;;

DRS-C;Delegado Regional de Saúde do Centro;Organização;AP;;;;;;;;;;;;;;

DRS-LVT;Delegado Regional de Saúde de Lisboa e Vale do Tejo;Organização;AP;;;;;;;;;;;;;;

DRS-N;Delegado Regional de Saúde do Norte;Organização;AP;;;;;;;;;;;;;;

EAARPNC;Entidades com autonomia administrativa e receitas próprias não consignadas;Tipologia de Organização;AP;;;;;;;;;;;;;;

EC;Equipas cinotécnicas;Conjunto de Organizações;AP;;;;;;;;;;;;;;

ECA;Entidades com competência de auditoria;Tipologia de Organização;AP;;;;;;;;;;;;;;

ECP;Entidades com capacidade pericial;Tipologia de Organização;AP;;;;;;;;;;;;;;

ECF;Entidades com competência de fiscalização;Tipologia de Organização;AP;;;;;;;;;;;;;;

EFD;Entidades com funções delegadas;Tipologia de Organização;N;;;;;;;;;;;;;;

ECFP;Entidade das Contas e Financiamentos Políticos (Tribunal Constitucional);Organização;N;;;;;;;;;;;;;;

ECHA;Agência Europeia dos Produtos Químicos;Organização;N;;;;;;;;;;;;;;

ECI;Entidades com competência de inspeção;Tipologia de Organização;AP;;;;;;;;;;;;;;

ECM;Entidades com competência de monitorização;Tipologia de Organização;AP;;;;;;;;;;;;;;

ECS;Entidades com competência sancionatória;Tipologia de Organização;AP;;;;;;;;;;;;;;

ECV;Entidades com competência de visita;Tipologia de Organização;AP;;;;;;;;;;;;;;

ED;Entidades depositantes;Tipologia de Organização;AP;;;;;;;;;;;;;;

EDA;Entidades detentoras de animais;Tipologia de Organização;AP;;;;;;;;;;;;;;

EDIE;Entidades detentoras de infrestruturas estratégicas;Tipologia de Organização;AP;;;;;;;;;;;;;;

EE;Entidades editoriais;Tipologia de Organização;S/N;;;;;;;;;;;;;;

EGAG;Entidades gestoras de água;Tipologia de Organização;AP;;;;;;;;;;;;;;

EGAP;Entidades gestoras de apoios;Tipologia de Organização;AP;;;;;;;;;;;;;;

Emb;Embaixadas;Conjunto de Organizações;AP;;;;;;;;;;;;;;

EMGFA;Estado-Maior General das Forças Armadas;Organização;AP;;;;;;;;;;;;;;

ENMC;Entidade Nacional para o Mercado de Combustíveis, EPE;Organização;AP;;;;;;;;;;;;;;

EPAE;Escola Portuguesa de Arte Equestre;Organização;AP;;;;;;;;;;;;;;

ER;Entidades reguladoras;Tipologia de Organização;AP;;;;;;;;;;;;;;

ERC;Entidade Reguladora para a Comunicação Social;Organização;N;;;;;;;;;;;;;;

ERS;Entidade Reguladora da Saúde;Organização;N;;;;;;;;;;;;;;

ERSAR;Entidade Reguladora dos Serviços de Águas e Resíduos;Organização;N;;;;;;;;;;;;;;

ES;Estabelecimentos de ensino (EstE + IES);Conjunto de Organizações;S/N;;;;;;;;;;;;;;

ESPAP;Entidade de Serviços Partilhados da Administração Pública;Organização;AP;;;;;;;;;;;;;;

ESPS;Entidades do sistema de proteção na saúde;Conjunto de Organizações;AP;;;;;;;;;;;;;;

